# Tx_arcsec,Ty_arcsec
5.059889495376755235e+02,-2.553326136543703626e+02
5.057613871612650200e+02,-2.555952334698391724e+02
5.055263887454016754e+02,-2.558531862086786930e+02
5.052845991225451598e+02,-2.561066449257351110e+02
5.050366327283727514e+02,-2.563558105099914997e+02
5.047830463008423862e+02,-2.566008943012839154e+02
5.045243619254606529e+02,-2.568421239161980907e+02
5.042610580567557008e+02,-2.570797313400568669e+02
5.039935815298840680e+02,-2.573139500846604619e+02
5.037223376815747429e+02,-2.575450242042484774e+02
5.034476980892643496e+02,-2.577731868090129410e+02
5.031700127477777187e+02,-2.579986746197225784e+02
5.028895902042602870e+02,-2.582217139355668110e+02
5.026067236505307960e+02,-2.584425233758904028e+02
5.023216756746381861e+02,-2.586613111427319609e+02
5.020346813838895059e+02,-2.588782763153329256e+02
5.017459527741322063e+02,-2.590935962631394887e+02
5.014556745568078213e+02,-2.593074317598775451e+02
5.011640063166497043e+02,-2.595199275112572650e+02
5.008710830804716352e+02,-2.597312006408334923e+02
5.005770052920734088e+02,-2.599413489664983103e+02
5.002818553358258669e+02,-2.601504425332601613e+02
4.999856822443228452e+02,-2.603585316129981493e+02
4.996885113204270965e+02,-2.605656406163004704e+02
4.993903454062131573e+02,-2.607717733559298381e+02
4.990911626796220162e+02,-2.609769102938929564e+02
4.987909274387502592e+02,-2.611810122239229486e+02
4.984895838314616867e+02,-2.613840300968901147e+02
4.981870696621517141e+02,-2.615858956980364951e+02
4.978833130491914289e+02,-2.617865411014943220e+02
4.975782408141980113e+02,-2.619858928341445221e+02
4.972717793819845724e+02,-2.621838814296804117e+02
4.969638687510750970e+02,-2.623804458979728338e+02
4.966544594564547310e+02,-2.625755309998512530e+02
4.963435140028784645e+02,-2.627691006095872694e+02
4.960310229849353618e+02,-2.629611408671017898e+02
4.957169971325948836e+02,-2.631516594496011408e+02
4.954014743702441592e+02,-2.633406874921938652e+02
4.950845188563397983e+02,-2.635282891707145723e+02
4.947662310778237043e+02,-2.637145519540498526e+02
4.944467324510868593e+02,-2.638996035385007417e+02
4.941261821715540350e+02,-2.640835872823644763e+02
4.938047603217361825e+02,-2.642666835996504915e+02
4.934826754082992011e+02,-2.644490960369990376e+02
4.931601547633263749e+02,-2.646310510585304883e+02
4.928374448068682341e+02,-2.648127872863776702e+02
4.925148021663205782e+02,-2.649945611629815403e+02
4.921924923773580076e+02,-2.651766397986858692e+02
4.918707841908758951e+02,-2.653592913462937304e+02
4.915499446473718308e+02,-2.655427818070426724e+02
4.912302271145327950e+02,-2.657273742601104800e+02
4.909118854360586965e+02,-2.659133099367319915e+02
4.905951484800272056e+02,-2.661008332013233826e+02
4.902802378955152562e+02,-2.662901565212093260e+02
4.899673534516488189e+02,-2.664814858781615499e+02
4.896566717210317279e+02,-2.666750047928724712e+02
4.893483601176639581e+02,-2.668708727124045481e+02
4.890425607957941452e+02,-2.670692319023415848e+02
4.887394113838938097e+02,-2.672702153930617897e+02
4.884390418183889437e+02,-2.674739414465589107e+02
4.881415704425671720e+02,-2.676805235845591824e+02
4.878471306290573466e+02,-2.678900600942465076e+02
4.875558577835678307e+02,-2.681026545104641059e+02
4.872679071694726076e+02,-2.683184173574181273e+02
4.869834603490631935e+02,-2.685374694943960208e+02
4.867027282001720323e+02,-2.687599519995815172e+02
4.864259604593518134e+02,-2.689860077545610011e+02
4.861534406327639317e+02,-2.692158034284271366e+02
4.858855063803261487e+02,-2.694495105460363789e+02
4.856225332530608512e+02,-2.696873242521901943e+02
4.853649502325617959e+02,-2.699294266607880672e+02
4.851132235821190193e+02,-2.701760030619661279e+02
4.848678534511195153e+02,-2.704272151265688535e+02
4.846293799265913549e+02,-2.706831881592090099e+02
4.843983556755974291e+02,-2.709440067082225028e+02
4.841753493720142387e+02,-2.712096858687957592e+02
4.839609283472522065e+02,-2.714801591788772157e+02
4.837556391712038248e+02,-2.717552614908038322e+02
4.835600073298982124e+02,-2.720346960441563056e+02
4.833745063603232666e+02,-2.723180379339566457e+02
4.831995599170352875e+02,-2.726047056442073426e+02
4.830355158715800599e+02,-2.728939524572691084e+02
4.828826342874819488e+02,-2.731848535113408047e+02
4.827410910938464781e+02,-2.734763042473219343e+02
4.826109566132519149e+02,-2.737670166162064334e+02
4.824921886565549585e+02,-2.740555261343139364e+02
4.823846461339718985e+02,-2.743401946311523147e+02
4.822880719554576672e+02,-2.746192326134810742e+02
4.822021104119282882e+02,-2.748907128657407952e+02
4.821263044382859562e+02,-2.751526006542470100e+02
4.820601216992568538e+02,-2.754027825867617594e+02
